Zodiac Combo,Pair Mean,Simulated Mean,T-Stat,P-Value
Aries-Aries,11.301783359233752,14.657227126978063,5.543549216509555,0.24
Aries-Taurus,4.23126434082044,14.657227126978063,17.224797026896884,0.06
Aries-Gemini,15.903116715466322,14.657227126978063,-2.0583418260543467,0.56
Aries-Cancer,10.327702717959799,14.657227126978063,7.1528338147674475,0.2
Aries-Leo,21.371260597924227,14.657227126978063,-11.092295852272118,0.85
Aries-Virgo,10.549193443485503,14.657227126978063,6.786907629457668,0.2
Aries-Libra,12.798835188305814,14.657227126978063,3.070260713240852,0.38
Aries-Scorpio,16.89754323810443,14.657227126978063,-3.7012399796278372,0.63
Aries-Sagittarius,20.679545914402016,14.657227126978063,-9.949509783630749,0.82
Aries-Capricorn,17.107125703784202,14.657227126978063,-4.047492455852252,0.65
Aries-Aquarius,9.490109336767947,14.657227126978063,8.53662697401955,0.18
Aries-Pisces,13.976557325155692,14.657227126978063,1.1245387518833985,0.48
Taurus-Aries,5.225949827131199,14.657227126978063,15.581471037852438,0.06
Taurus-Taurus,12.601835962348865,14.657227126978063,3.395724341987871,0.36
Taurus-Gemini,15.343173398891714,14.657227126978063,-1.133256040464314,0.54
Taurus-Cancer,1.9395972281507867,14.657227126978063,21.010874310939936,0.01
Taurus-Leo,6.5634252427897355,14.657227126978063,13.371819705337646,0.11
Taurus-Virgo,15.642095278739564,14.657227126978063,-1.6271067104584305,0.55
Taurus-Libra,2.7297538232385437,14.657227126978063,19.705451756783045,0.04
Taurus-Scorpio,18.85396671785709,14.657227126978063,-6.933459202790277,0.77
Taurus-Sagittarius,20.098074878140512,14.657227126978063,-8.988857920387813,0.8
Taurus-Capricorn,7.670242907212375,14.657227126978063,11.543239457499439,0.13
Taurus-Aquarius,,14.657227126978063,,0.0
Taurus-Pisces,19.366229138971413,14.657227126978063,-7.77977108872142,0.78
Gemini-Aries,,14.657227126978063,,0.0
Gemini-Taurus,4.873841147649377,14.657227126978063,16.16319194554026,0.06
Gemini-Gemini,13.015429620243449,14.657227126978063,2.7124237245806673,0.38
Gemini-Cancer,23.58702273534047,14.657227126978063,-14.752970061425291,0.92
Gemini-Leo,21.46459533194897,14.657227126978063,-11.24649473846708,0.86
Gemini-Virgo,25.306821430327243,14.657227126978063,-17.594260027240203,0.95
Gemini-Libra,15.655382334242448,14.657227126978063,-1.6490583363002334,0.55
Gemini-Scorpio,16.02790282147397,14.657227126978063,-2.264501716689321,0.59
Gemini-Sagittarius,12.86392162153482,14.657227126978063,2.962731017943765,0.38
Gemini-Capricorn,19.506059697700667,14.657227126978063,-8.010786011915544,0.79
Gemini-Aquarius,34.93427888293739,14.657227126978063,-33.499841497995746,1.0
Gemini-Pisces,6.484249461251479,14.657227126978063,13.50262649933974,0.1
Cancer-Aries,29.83684425579455,14.657227126978063,-25.078338504815598,1.0
Cancer-Taurus,,14.657227126978063,,0.0
Cancer-Gemini,30.624856395280297,14.657227126978063,-26.380218190727568,1.0
Cancer-Cancer,,14.657227126978063,,0.0
Cancer-Leo,24.078147796938104,14.657227126978063,-15.564360786133523,0.92
Cancer-Virgo,,14.657227126978063,,0.0
Cancer-Libra,3.895850397476101,14.657227126978063,17.778936458678466,0.06
Cancer-Scorpio,15.545626188115781,14.657227126978063,-1.4677295345135726,0.55
Cancer-Sagittarius,10.058711391664268,14.657227126978063,7.597236033772861,0.2
Cancer-Capricorn,16.0539283976159,14.657227126978063,-2.3074987305620316,0.59
Cancer-Aquarius,4.995942104226648,14.657227126978063,15.961468206738337,0.06
Cancer-Pisces,16.928665200137075,14.657227126978063,-3.75265676386985,0.63
Leo-Aries,29.2463660304189,14.657227126978063,-24.10280580922594,1.0
Leo-Taurus,8.861049422079901,14.657227126978063,9.57590071501589,0.17
Leo-Gemini,13.202014035227231,14.657227126978063,2.4041664688819457,0.39
Leo-Cancer,,14.657227126978063,,0.0
Leo-Leo,17.80850408711864,14.657227126978063,-5.206243982188853,0.74
Leo-Virgo,19.517718632460642,14.657227126978063,-8.030047809498116,0.79
Leo-Libra,10.159303887550102,14.657227126978063,7.431046554719385,0.2
Leo-Scorpio,26.467730368364073,14.657227126978063,-19.512204799778978,0.99
Leo-Sagittarius,9.30491380751199,14.657227126978063,8.842589643093897,0.18
Leo-Capricorn,14.200792205163618,14.657227126978063,0.7540789321327339,0.49
Leo-Aquarius,15.224767768378522,14.657227126978063,-0.9376373725040443,0.53
Leo-Pisces,16.67445546727722,14.657227126978063,-3.332675305986053,0.62
Virgo-Aries,18.341541477106755,14.657227126978063,-6.086878321540443,0.75
Virgo-Taurus,12.720923999046201,14.657227126978063,3.198978266587842,0.36
Virgo-Gemini,12.198517521936358,14.657227126978063,4.0620492096090715,0.32
Virgo-Cancer,,14.657227126978063,,0.0
Virgo-Leo,9.96105988873475,14.657227126978063,7.75856668033584,0.2
Virgo-Virgo,13.176039376503429,14.657227126978063,2.4470793617760607,0.39
Virgo-Libra,1.9614695144350085,14.657227126978063,20.974738972699512,0.01
Virgo-Scorpio,11.923139196336988,14.657227126978063,4.517003429314662,0.3
Virgo-Sagittarius,6.613386711755025,14.657227126978063,13.289278056211938,0.11
Virgo-Capricorn,16.613023104165777,14.657227126978063,-3.231182522328496,0.61
Virgo-Aquarius,13.930343101907447,14.657227126978063,1.2008895533905368,0.48
Virgo-Pisces,15.309381120832306,14.657227126978063,-1.0774276107462863,0.54
Libra-Aries,12.338071157933573,14.657227126978063,3.831491792158,0.36
Libra-Taurus,30.593336838878873,14.657227126978063,-26.32814453839177,1.0
Libra-Gemini,11.786630525944377,14.657227126978063,4.742530240425682,0.28
Libra-Cancer,,14.657227126978063,,0.0
Libra-Leo,12.698764505057847,14.657227126978063,3.235588102436759,0.36
Libra-Virgo,22.700273717302807,14.657227126978063,-13.28796657323157,0.92
Libra-Libra,23.560060966273774,14.657227126978063,-14.708426357483006,0.92
Libra-Scorpio,12.598838786906445,14.657227126978063,3.4006759939080404,0.36
Libra-Sagittarius,23.93393455615003,14.657227126978063,-15.32610520704556,0.92
Libra-Capricorn,17.661010681489987,14.657227126978063,-4.962569222661384,0.71
Libra-Aquarius,13.812336408399409,14.657227126978063,1.395849135079231,0.46
Libra-Pisces,15.279738743342811,14.657227126978063,-1.0284552571974037,0.54
Scorpio-Aries,12.435348656374632,14.657227126978063,3.670779040702933,0.36
Scorpio-Taurus,17.69859649672399,14.657227126978063,-5.024664978398754,0.71
Scorpio-Gemini,7.16883804855118,14.657227126978063,12.371613497948314,0.11
Scorpio-Cancer,,14.657227126978063,,0.0
Scorpio-Leo,15.153743442295859,14.657227126978063,-0.8202976480260074,0.53
Scorpio-Virgo,23.253770074105113,14.657227126978063,-14.20240129706394,0.92
Scorpio-Libra,26.19540402585594,14.657227126978063,-19.062292780046118,0.99
Scorpio-Scorpio,11.5945597203106,14.657227126978063,5.059851595747115,0.26
Scorpio-Sagittarius,14.924479136442688,14.657227126978063,-0.4415286830076074,0.52
Scorpio-Capricorn,5.15523580474651,14.657227126978063,15.698298107688991,0.06
Scorpio-Aquarius,23.40914948049528,14.657227126978063,-14.459104566788223,0.92
Scorpio-Pisces,13.671621410762834,14.657227126978063,1.6283252452134724,0.43
Sagittarius-Aries,26.687800372533722,14.657227126978063,-19.87578380262784,0.99
Sagittarius-Taurus,14.058914914881159,14.657227126978063,0.9884752730717291,0.48
Sagittarius-Gemini,20.751553565487498,14.657227126978063,-10.068474065373417,0.82
Sagittarius-Cancer,,14.657227126978063,,0.0
Sagittarius-Leo,6.503127279106642,14.657227126978063,13.471438340746115,0.11
Sagittarius-Virgo,13.884080632203556,14.657227126978063,1.2773200631627815,0.47
Sagittarius-Libra,25.222190908109656,14.657227126978063,-17.454441422725935,0.95
Sagittarius-Scorpio,17.86032793172134,14.657227126978063,-5.291862473520909,0.75
Sagittarius-Sagittarius,15.371012276478481,14.657227126978063,-1.1792488207690104,0.54
Sagittarius-Capricorn,10.423544640898916,14.657227126978063,6.994492786398768,0.2
Sagittarius-Aquarius,15.740509932953003,14.657227126978063,-1.7896981639354543,0.55
Sagittarius-Pisces,20.87230211908347,14.657227126978063,-10.267963490920133,0.85
Capricorn-Aries,11.279050617864204,14.657227126978063,5.581106117870769,0.24
Capricorn-Taurus,10.327701827716796,14.657227126978063,7.15283528554337,0.2
Capricorn-Gemini,13.137893914202236,14.657227126978063,2.510099713863596,0.38
Capricorn-Cancer,,14.657227126978063,,0.0
Capricorn-Leo,13.984435372772408,14.657227126978063,1.1115233811258585,0.48
Capricorn-Virgo,13.683805223057556,14.657227126978063,1.6081962942384087,0.43
Capricorn-Libra,6.701017505209754,14.657227126978063,13.144502685196066,0.11
Capricorn-Scorpio,18.583463203773984,14.657227126978063,-6.486558689071773,0.75
Capricorn-Sagittarius,19.902543705756447,14.657227126978063,-8.665819671947265,0.8
Capricorn-Capricorn,11.32582875217454,14.657227126978063,5.503823675441352,0.24
Capricorn-Aquarius,,14.657227126978063,,0.0
Capricorn-Pisces,4.650476651442794,14.657227126978063,16.53221379887755,0.06
Aquarius-Aries,10.24731631682729,14.657227126978063,7.285640680821924,0.2
Aquarius-Taurus,26.59175688230359,14.657227126978063,-19.71710976370213,0.99
Aquarius-Gemini,17.11676784448556,14.657227126978063,-4.0634222956082695,0.65
Aquarius-Cancer,,14.657227126978063,,0.0
Aquarius-Leo,13.141133797766487,14.657227126978063,2.5047470823676243,0.38
Aquarius-Virgo,12.824485748888621,14.657227126978063,3.0278832648720946,0.38
Aquarius-Libra,18.772283247238324,14.657227126978063,-6.798509440286925,0.77
Aquarius-Scorpio,13.955205261609501,14.657227126978063,1.1598146269495213,0.48
Aquarius-Sagittarius,9.269279825142377,14.657227126978063,8.901460763791885,0.17
Aquarius-Capricorn,7.65230751267112,14.657227126978063,11.572870632759395,0.13
Aquarius-Aquarius,,14.657227126978063,,0.0
Aquarius-Pisces,10.74570541267865,14.657227126978063,6.462249000596858,0.22
Pisces-Aries,18.528744583081252,14.657227126978063,-6.396157720417306,0.75
Pisces-Taurus,,14.657227126978063,,0.0
Pisces-Gemini,16.0833656227939,14.657227126978063,-2.3561321507195747,0.59
Pisces-Cancer,,14.657227126978063,,0.0
Pisces-Leo,11.558785878562832,14.657227126978063,5.118953778981048,0.26
Pisces-Virgo,20.648213826768302,14.657227126978063,-9.897745849595207,0.82
Pisces-Libra,20.677464934297735,14.657227126978063,-9.946071783644708,0.82
Pisces-Scorpio,13.454531012152776,14.657227126978063,1.986981623453287,0.43
Pisces-Sagittarius,16.23672595177337,14.657227126978063,-2.6094996902773335,0.6
Pisces-Capricorn,24.28583697265089,14.657227126978063,-15.907485346398206,0.92
Pisces-Aquarius,26.114565567565425,14.657227126978063,-18.92873906758993,0.99
Pisces-Pisces,27.427818147893916,14.657227126978063,-21.098371705377563,0.99
